experiment,model,decision_accuracy,mae_score,records
Exp 001,Base Qwen,0.4444444444444444,38.77777777777778,9
Exp 001,LoRA,0.4444444444444444,29.77777777777778,9
Exp 002,Base Qwen,0.4444444444444444,38.77777777777778,9
Exp 002,LoRA,0.7777777777777778,21.88888888888889,9
Exp 003,Base Qwen,0.2222222222222222,38.333333333333336,9
Exp 003,LoRA,0.6666666666666666,22.22222222222222,9
Exp 004,Base Qwen,0.3333333333333333,34.13333333333333,15
Exp 004,LoRA,0.8,15.133333333333333,15
